# Pixel Table for ALFOSC grism: 
# order = 3
#
# Pixel    Wavelength [Å]
   107.37    7535.77
   127.58    7488.87
   148.58    7435.37
   230.25    7245.17
   320.67    7032.41
   364.68    6929.47
   456.12    6717.04
   472.93    6678.28
   547.76    6506.53
   593.52    6402.25
   653.52    6266.49
   708.54    6143.06
   729.56    6096.16
   797.88    5944.83
   839.93    5852.49
  1021.98    5460.73
  1581.36    4358.33
  1760.56    4046.56
  2013.49    3650.15
