# wavelength calibrated_flux
3598.6785093895755 0.0
3600.7301347798266 8.010043708697398e-18
3602.781760170077 -4.561994686806021e-18
3604.833385560328 7.08010529418679e-19
3606.8850109505793 -2.696549456467667e-18
3608.93663634083 -3.831332261706822e-18
3610.988261731081 -1.7568030528375624e-18
3613.039887121332 2.385074141955256e-18
3615.0915125115826 -2.5117039657841053e-18
3617.1431379018336 -6.685945164081706e-18
3619.1947632920846 5.99779204941499e-18
3621.2463886823352 9.371067407412481e-18
3623.2980140725863 3.317454584729938e-18
3625.349639462837 -5.367651715513874e-19
3627.401264853088 -1.3685883263076822e-18
3629.452890243339 -3.536884819709261e-18
3631.5045156335896 -1.668012972697299e-19
3633.5561410238406 3.1437954753217354e-18
3635.6077664140917 -7.2609604968628255e-19
3637.6593918043422 -5.202475107459583e-18
3639.7110171945933 2.3380758455032766e-18
3641.7626425848443 -2.1337576963498183e-18
3643.814267975095 1.4692710001513396e-18
3645.865893365346 5.888689046136989e-19
3647.917518755597 2.9732163350208587e-18
3649.9691441458476 2.854905572885151e-18
3652.0207695360987 9.752107904699825e-19
3654.0723949263497 1.156496493367701e-18
3656.1240203166003 -5.473092551593852e-19
3658.1756457068514 -1.9975424983025736e-18
3660.2272710971024 1.979920157228926e-18
3662.278896487353 1.5191799936712543e-18
3664.330521877604 -4.065238692707147e-19
3666.382147267855 4.235632448111102e-19
3668.4337726581057 1.2037924855769877e-18
3670.4853980483567 -4.661483440930904e-18
3672.5370234386073 2.0448462599149853e-18
3674.5886488288584 -4.074798939334321e-18
3676.6402742191094 6.250373851422734e-18
3678.69189960936 -3.407948147243329e-18
3680.743524999611 3.597470254946314e-19
3682.795150389862 -1.3822880466656543e-18
3684.8467757801127 -1.0670476931698382e-19
3686.8984011703637 -1.506253056509136e-18
3688.950026560615 -6.243046253353785e-19
3691.0016519508654 3.502288234013338e-18
3693.0532773411164 -9.110212527232904e-19
3695.1049027313675 6.242508668906869e-19
3697.156528121618 -1.4445199961850228e-18
3699.208153511869 2.3150049977365757e-18
3701.25977890212 1.6871983238664034e-18
3703.3114042923708 -2.4714293718396e-18
3705.363029682622 1.725537745175987e-18
3707.414655072873 1.4240849912289926e-18
3709.4662804631234 -2.6635301909388253e-18
3711.5179058533745 -8.883742663786468e-19
3713.5695312436255 3.007380341018995e-18
3715.621156633876 -3.591865447087143e-18
3717.672782024127 4.25933895145554e-18
3719.724407414378 2.388039571722959e-18
3721.776032804629 -3.1607371064533835e-18
3723.82765819488 9.962765151520608e-19
3725.8792835851305 1.774476004865364e-18
3727.9309089753815 -1.4919571154826306e-18
3729.9825343656325 1.3530583008165676e-18
3732.034159755883 3.517106572059716e-18
3734.085785146134 -1.988187283289894e-18
3736.1374105363852 4.951134835995504e-19
