# Extracted 1D spectrum from 1d_std_ALHh050089.dat
# Wavelength Flux Variance
2924.0533102514014 971.7550953771374 6916.54673908723
2927.432556022385 1115.9463412591524 7023.604154054446
2930.811801793369 1130.2069241987865 6912.280579418438
2934.1910475643526 1227.680931265759 7019.114622832882
2937.5702933353364 944.5382430333849 6958.381618221482
2940.94953910632 1193.7302508135288 6966.90778563171
2944.328784877304 1183.5678797829412 6928.9827796235395
2947.7080306482876 982.8757572503891 6947.030533519785
2951.087276419271 1180.4492991054071 6938.551314462295
2954.4665221902546 1067.544367802524 6927.179722382725
2957.8457679612384 1121.6819800572239 6934.85247567374
2961.225013732222 1197.9745768439777 6935.480018178662
2964.604259503206 1221.7281845350349 6980.184602112757
2967.9835052741896 1198.3415755995386 7019.194435066273
2971.3627510451734 1334.7845436506295 6991.6347272994235
2974.741996816157 1088.62299165363 6922.697486217817
2978.121242587141 1375.9158725885209 6948.540272644589
2981.5004883581246 1303.6504897867587 7024.437408361151
2984.8797341291083 1186.8685692927227 7007.673902617096
2988.258979900092 1545.6789958697595 6949.578817645565
2991.638225671076 1373.7277413007953 7006.773502888333
2995.0174714420596 1400.121586938988 6929.651742711843
2998.3967172130433 1268.0099174733914 6989.657761364021
3001.775962984027 1216.3765231641526 6941.388831523922
3005.155208755011 1306.3551731286282 6969.746430494909
3008.534454525994 1554.5071403878753 7846.651115636567
3011.913700296978 1453.4635247230099 7773.1750085045605
3015.2929460679616 1430.4039319820392 7492.756416528199
3018.6721918389453 1504.271976424786 7851.454253811156
3022.051437609929 1283.3034668214557 7837.03963678879
3025.430683380913 1436.9880406981158 7742.8806933540245
3028.8099291518965 1371.7794549525413 7796.363553776291
3032.1891749228803 1479.1066602101794 7906.075932925502
3035.568420693864 1576.1562421235406 7488.82958483194
3038.9476664648478 1633.6633504398076 7741.837846717312
3042.3269122358315 1435.2023685316005 8070.289259047943
3045.7061580068153 1467.4000193352292 7546.503825567893
3049.085403777799 1307.936971760255 7862.281111038107
3052.4646495487827 1600.9918951941158 7826.401314132075
3055.8438953197665 1473.137146240739 8000.173064305846
3059.22314109075 1378.139588786866 7778.473365000942
3062.6023868617335 1436.8547104788506 7779.117585635766
3065.9816326327173 1560.9636350423689 7846.068265871887
3069.360878403701 1576.6684296677251 8101.176426384434
3072.7401241746848 1431.1461254850838 7947.503081415179
3076.1193699456685 1684.3339072151841 7938.548811814869
3079.4986157166522 1593.7720314766125 8018.9469388510215
3082.877861487636 1511.1282201968581 7873.966724728052
3086.2571072586197 1458.2138404324974 7972.362342363553
3089.6363530296035 1603.1718771969522 7834.636970716654
3093.015598800587 1564.2417263133466 8056.695510064849
3096.394844571571 1762.3299646785904 7765.470824365611
3099.7740903425547 1537.1004694639598 8113.30494031898
3103.1533361135384 1700.9260611050327 7912.145553898343
3106.532581884522 1547.7674514028147 8039.520123009868
3109.911827655506 1621.193084560036 8024.825341667417
3113.2910734264897 1733.6073380590628 7961.55586291629
3116.670319197473 1735.393420930488 8018.75914665722
3120.0495649684567 1605.4589364760652 8079.455981959486
3123.4288107394405 1787.7269380315547 7957.361859680201
3126.808056510424 1765.304744454108 8119.488474908397
3130.187302281408 1653.341914400919 8045.918935931941
3133.5665480523917 1852.8907640468885 8351.676606954767
3136.9457938233754 1988.2813094427838 8171.573601897856
3140.325039594359 1780.7144160010623 8139.7605774737585
3143.704285365343 1906.0775343038251 8295.401508688234
3147.0835311363267 1665.1691058241381 8094.847383300288
