# Extracted 1D spectrum from 1d_standard_ALHh050097.dat
# Wavelength Flux Variance
2746.4092013784975 -10484.89622345933 108727111.86764923
2749.703393428747 -649.8968327217156 92004179.166486
2752.9975854789964 -378.06769809693697 17110736.16403044
2756.291777529246 -440.42364884162464 2307786.9818313643
2759.585969579495 -324.99473234685973 -98976.99002716795
2762.8801616297446 -1526.621996170871 -6667697.723803787
2766.174353679994 -2678.6491495293203 -112503593.23944934
2769.4685457302435 -52.51672701713187 4078131584.4983363
2772.762737780493 -2440.473215883883 967382510.8937035
2776.0569298307423 -2464.6430168328006 2039956875.1490397
2779.3511218809917 -5745.734966547373 -471831809.58152044
2782.645313931241 5.185686627025108 56704889.48921943
2785.9395059814906 -295.23893546510755 2283081813.504048
2789.23369803174 -1520.4178442105876 742810206.19435
2792.5278900819894 679.364226545677 -37695324.37096321
2795.8220821322393 -5180.591125721659 4584478.62742544
2799.1162741824887 -19013.546661017557 -289444070.23797727
2802.410466232738 1901.3165606064974 2314200226.2333603
2805.7046582829876 137.71878376230092 56403037.89302594
2808.998850333237 323.35093004953916 -143278594.36798838
2812.2930423834864 -78725.67750406278 9903502695.43846
2815.587234433736 -1742.2082577634992 1871774081.442692
2818.8814264839853 -633.2916351679658 -538121876.3981831
2822.1756185342347 -5885.471359078124 -209090100.47485584
2825.469810584484 -2702.736513858475 2249963966.961163
2828.7640026347335 -328.98158504794645 63223254.41560525
2832.058194684983 -366.71608965663614 5434221904.440996
2835.3523867352324 -2413.367795987719 3822752940.609396
2838.646578785482 1431.214709383634 10003643951.31947
2841.940770835731 -24473.573796415967 1119507297.2378294
2845.2349628859806 2727.7664402718756 -186644971.92923635
2848.52915493623 -5696.8014274414945 -22341322.99140095
2851.8233469864795 -1221.5119578437368 192780035.12547886
2855.117539036729 2923.9402521677403 -310147907.3896949
2858.4117310869783 -21374.53250844282 3081013965.0060053
2861.7059231372277 -2216.0237526810874 2073066130.805575
2865.000115187477 -2416.969214784608 -25308373.97392826
2868.2943072377266 -13675.558892253695 42596302.35590856
2871.588499287976 -1011.0620288454156 -144022107.02035016
2874.8826913382254 -12913.387351911471 1170895716.5072186
2878.176883388475 -5248.8166987392215 7744306540.822836
