# wavelength calibrated_flux
4533.540400636499 3.0463174032819983e-16
4537.120805812481 3.7164334465742847e-16
4540.701210988464 4.0269718948314403e-16
4544.281616164446 4.3427773276696453e-16
4547.862021340428 4.059114271145146e-16
4551.442426516411 4.737162558958933e-16
4555.022831692393 3.799637801887451e-16
4558.6032368683755 4.972546250124945e-16
4562.183642044358 4.568104572642625e-16
4565.764047220341 4.3254489056056306e-16
4569.3444523963235 5.012173948242081e-16
4572.924857572306 3.0379160594425507e-16
4576.505262748288 3.5341709996613204e-16
4580.085667924271 3.2867166778029354e-16
4583.666073100253 3.0186249278345053e-16
4587.246478276235 2.7313879855576234e-16
4590.826883452218 3.387837337869103e-16
4594.4072886282 2.629475016098847e-16
4597.9876938041825 3.078068975855596e-16
4601.568098980165 3.2828318795592487e-16
4605.148504156147 3.012240341438015e-16
4608.72890933213 2.8383842613918706e-16
4612.309314508112 2.4930464504229717e-16
4615.889719684094 2.6517879165231e-16
4619.470124860077 2.6280423644757714e-16
4623.05053003606 2.356851842184285e-16
4626.6309352120425 2.241103637239128e-16
4630.211340388025 1.7407520698463984e-16
4633.791745564007 1.4888962346944592e-16
4637.37215073999 2.281286055514296e-16
4640.952555915972 1.7831231723569857e-16
4644.532961091954 7.795624246545478e-17
4648.113366267937 1.1286592734720823e-16
4651.693771443919 9.050555307426819e-17
4655.2741766199015 1.545733414865861e-16
4658.854581795884 1.181182764200348e-16
4662.434986971866 1.7177629119940372e-16
4666.015392147849 1.6839459183127583e-16
4669.595797323831 1.7906847978678315e-16
4673.176202499813 1.7885360089899437e-16
4676.756607675796 1.7143362744447991e-16
4680.337012851778 2.5073984292886875e-16
4683.917418027761 2.234344520211657e-16
4687.497823203744 3.4300202550755905e-16
4691.078228379726 3.9865168446112894e-16
4694.658633555709 3.8705015261827916e-16
4698.239038731691 3.3994991499149036e-16
4701.819443907673 3.7083479502199095e-16
4705.399849083656 3.1646968600810443e-16
4708.980254259638 2.7484426299208834e-16
4712.56065943562 2.938722065963114e-16
4716.141064611603 2.4266413949289046e-16
4719.721469787585 2.5120201675399515e-16
4723.301874963568 2.3300108643644865e-16
4726.88228013955 1.9837706393336933e-16
4730.462685315532 2.0105836094717608e-16
4734.043090491515 2.4146648181957863e-16
4737.623495667497 1.6550871403445278e-16
4741.20390084348 2.7293933551575857e-16
4744.784306019463 2.445557633333111e-16
4748.364711195445 2.84924676398274e-16
4751.9451163714275 3.7833100818090785e-16
4755.52552154741 3.3842415427454283e-16
4759.105926723392 3.6072547234633835e-16
4762.686331899375 4.3872873173214687e-16
4766.266737075357 4.1889354434508964e-16
4769.847142251339 4.051769634179976e-16
4773.427547427322 4.002863389286918e-16
4777.007952603304 4.062988962934963e-16
4780.5883577792865 3.6210140847294096e-16
4784.168762955269 3.591000442574635e-16
4787.749168131251 3.762082356239468e-16
4791.329573307234 3.1007976927408536e-16
4794.909978483216 3.9780433104800436e-16
4798.490383659198 4.2656031167598993e-16
4802.070788835182 2.981826241028231e-16
4805.651194011164 3.2168393205002177e-16
4809.2315991871465 3.508734619392887e-16
4812.812004363129 3.874983255352195e-16
4816.392409539111 4.3176343771667456e-16
4819.972814715094 4.878045027249406e-16
4823.553219891076 4.786497700229943e-16
4827.133625067058 4.3824436117883277e-16
4830.714030243041 4.3792394725348876e-16
4834.294435419023 4.388918741954422e-16
4837.8748405950055 4.39485453521026e-16
4841.455245770988 5.045689416113975e-16
4845.03565094697 5.20292155907914e-16
4848.616056122953 4.469120794805032e-16
4852.196461298935 4.824732585410701e-16
4855.776866474917 3.7635934516021374e-16
4859.357271650901 4.822696168912912e-16
4862.937676826883 4.783565450193491e-16
4866.518082002865 4.797730268427155e-16
4870.098487178848 5.324192936117773e-16
4873.67889235483 4.3622780324426984e-16
4877.259297530813 5.915887196954738e-16
4880.839702706795 5.69862555568545e-16
4884.420107882777 4.811342964546601e-16
4888.00051305876 6.68316098585274e-16
4891.580918234742 5.187010100502805e-16
4895.161323410724 5.805490462817151e-16
4898.741728586707 5.681843365785651e-16
4902.322133762689 5.534565414729652e-16
4905.902538938672 4.2908293852083726e-16
4909.482944114654 4.853748752575472e-16
4913.063349290636 5.995546674028555e-16
4916.643754466619 4.962527368161891e-16
4920.224159642602 6.0098855296115595e-16
4923.804564818584 5.703273410121556e-16
4927.384969994567 4.84991831428116e-16
4930.965375170549 4.884914880696604e-16
4934.5457803465315 5.324201329328728e-16
